matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
email-Enron,36692,Y,0.0137,7.577,15.498,hash,3.276,28.644,10.883,53.334,11360.6,2896.9,30492154
eu-2005,862664,N,0.0026,DNF,78.85,hash,30.111,65.54,68.034,256.134,DNF(big),DNF(big),284177131
ex11,16614,N,0.3974,4.912,1.738,hash,1.372,1.901,2.375,3.798,1060.57,271.001,4517874
exdata_1,6001,Y,3.1594,DNF,14.6,hash,10.328,101.094,41.225,128.754,54.954,17.533,11275501
fcondp2,201822,Y,0.0141,416.684,9.429,hash,6.74,9.966,11.1,21.562,DNF(big),DNF(big),34783596
fem_filter,74062,N,0.0316,40.672,8.297,hash,2.626,7.002,6.491,19.101,DNF(big),DNF(big),8424292
fem_hifreq_circuit,491100,N,0.0084,575.367,27.441,hash,15.227,23.113,26.791,65.926,DNF(big),DNF(big),134838250
filter3D,106437,Y,0.0124,11.135,4.06,hash,2.142,3.538,4.621,11.44,DNF(big),DNF(big),20161619
fp,7548,N,1.4894,34.506,3.893,hash,3.164,6.938,7.162,18.946,101.261,28.107,12283169
fullb,199187,Y,0.015,461.363,11.0,hash,7.78,12.241,13.047,24.161,DNF(big),DNF(big),39383685
gearbox,153746,Y,0.0195,366.46,9.531,hash,6.481,10.212,10.575,21.148,DNF(big),DNF(big),32671334
germany_osm,11548845,Y,0.0,DNF,69.659,hash,5.339,5.755,21.725,222.637,DNF(big),DNF(big),42720261
