name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,merge,compact,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcspwr03,Mildly sparse,merge,118,476,0.05700000000001637,,0.014999999999986358,0.03200000000003911,0.022000000000048203,0.05199999999990723,0.01999999999998181,,,,,,0.03200000000003911,,0.013000000000033651,0.009000000000014552
bcspwr03,Mildly sparse,mrg2,118,476,0.05499999999994998,,0.016000000000076398,0.03300000000001546,,0.03499999999996817,0.01999999999998181,,,,,,0.02800000000002001,,0.013000000000033651,0.008999999999900865
can_229,Mildly sparse,cu,229,1777,0.06100000000003547,,,,,,,0.04899999999997817,0.1409999999999627,0.04399999999998272,,,,,0.014000000000010004,0.026000000000067303
can_229,Mildly sparse,gust,229,1777,0.06000000000005912,,0.016999999999939064,0.031000000000062755,0.019000000000005457,,,,,,0.10599999999999454,0.033999999999991815,0.045999999999935426,,0.014000000000010004,0.013000000000033651
can_229,Mildly sparse,merge,229,1777,0.05899999999996908,,0.016000000000076398,0.029999999999972715,0.027000000000043656,0.0949999999999136,0.01999999999998181,,,,,,0.03200000000003911,,0.014000000000010004,0.012000000000057298
can_229,Mildly sparse,mrg2,229,1777,0.057999999999992724,,0.01599999999996271,0.031000000000062755,,0.04800000000000182,0.01999999999998181,,,,,,0.02699999999992997,,0.013000000000033651,0.009999999999990905
can_292,Mildly sparse,cu,292,2540,0.06400000000007822,,,,,,,0.045999999999935426,0.15899999999999181,0.04900000000009186,,,,,0.014999999999986358,0.024999999999977263
can_292,Mildly sparse,gust,292,2540,0.06399999999996453,,0.018000000000029104,0.03300000000001546,0.023000000000024556,,,,,,0.11799999999993815,0.03499999999996817,0.04900000000009186,,0.014999999999986358,0.012999999999919964
can_292,Mildly sparse,merge,292,2540,0.06100000000003547,,0.017999999999915417,0.031000000000062755,0.05700000000001637,0.3009999999999309,0.01999999999998181,,,,,,0.03300000000001546,,0.014000000000010004,0.014000000000010004
can_292,Mildly sparse,mrg2,292,2540,0.06200000000001182,,0.017999999999915417,0.031000000000062755,,0.07799999999997453,0.01999999999998181,,,,,,0.028999999999996362,,0.014000000000010004,0.012000000000057298
ash292,Mildly sparse,cu,292,2208,0.07099999999991269,,,,,,,0.04399999999998272,0.1490000000000009,0.043000000000006366,,,,,0.014000000000010004,0.026000000000067303
ash292,Mildly sparse,gust,292,2208,0.06200000000001182,,0.016999999999939064,0.03300000000001546,0.019000000000005457,,,,,,0.10500000000001819,0.033999999999991815,0.047000000000025466,,0.014000000000010004,0.011999999999943611
ash292,Mildly sparse,merge,292,2208,0.059000000000082764,,0.01599999999996271,0.031000000000062755,0.027999999999906322,0.07100000000002638,0.022000000000048203,,,,,,0.03300000000001546,,0.012999999999919964,0.013000000000033651
ash292,Mildly sparse,mrg2,292,2208,0.05999999999994543,,0.014999999999986358,0.03300000000001546,,0.04000000000007731,0.020000000000095497,,,,,,0.027999999999906322,,0.012999999999919964,0.011000000000080945
bcspwr04,Mildly sparse,cu,274,1612,0.06200000000001182,,,,,,,0.04899999999997817,0.15300000000002,0.04399999999998272,,,,,0.014000000000010004,0.026000000000067303
bcspwr04,Mildly sparse,gust,274,1612,0.06200000000001182,,0.016999999999939064,0.03200000000003911,0.020999999999958163,,,,,,0.10599999999999454,0.035000000000081855,0.047000000000025466,,0.014999999999986358,0.009000000000014552
bcspwr04,Mildly sparse,merge,274,1612,0.05899999999996908,,0.01700000000005275,0.03099999999994907,0.03499999999996817,0.09500000000002728,0.020999999999958163,,,,,,0.033999999999991815,,0.014000000000010004,0.011000000000080945
bcspwr04,Mildly sparse,mrg2,274,1612,0.05999999999994543,,0.016000000000076398,0.03099999999994907,,0.04899999999997817,0.019000000000005457,,,,,,0.028999999999996362,,0.014000000000010004,0.012000000000057298
bcsstk13,Mildly sparse,cu,2003,83883,0.08999999999991815,,,,,,,0.055000000000063665,0.5190000000000055,0.13900000000001,,,,,0.06299999999998818,0.3039999999999736
bcsstk13,Mildly sparse,gust,2003,83883,0.10199999999997544,,0.023000000000024556,0.033999999999991815,0.16200000000003456,,,,,,0.7450000000000045,0.17899999999997362,0.42999999999995,,0.06800000000009732,0.1329999999999245
bcsstk13,Mildly sparse,merge,2003,83883,0.08299999999996999,,0.022000000000048203,0.03200000000003911,0.7329999999999472,4.451000000000022,0.2299999999999045,,,,,,0.14800000000002456,,0.07100000000002638,0.1230000000000473
bcsstk13,Mildly sparse,mrg2,2003,83883,0.09100000000000819,,0.02299999999991087,0.035000000000081855,,0.6339999999999009,0.21499999999991815,,,,,,0.035000000000081855,,0.06800000000009732,0.1209999999999809
